title,state,position,person_office,branch,handle,party
Lamar Alexander,Tennessee,Senator,Person,Legislative,SenAlexander,Republican
John Cornyn,Texas,Senator,Person,Legislative,JohnCornyn,Republican
Ted Cruz,Texas,Senator,Person,Legislative,SenTedCruz,Republican
Mike Lee,Utah,Senator,Person,Legislative,SenMikeLee,Republican
Orrin Hatch,Utah,Senator,Person,Legislative,SenOrrinHatch,Republican
Bernie Sanders,Vermont,Senator,Person,Legislative,SenSanders,Independent
Patrick Leahy,Vermont,Senator,Person,Legislative,SenatorLeahy,Democrat
Mark Warner,Virginia,Senator,Person,Legislative,MarkWarner,Democrat
Tim Kaine,Virginia,Senator,Person,Legislative,timkaine,Democrat
Maria Cantwell,Washington,Senator,Person,Legislative,SenatorCantwell,Democrat
Patty Murray,Washington,Senator,Person,Legislative,PattyMurray,Democrat
Joe Manchin III,West Virginia,Senator,Person,Legislative,Sen_JoeManchin,Democrat
Shelley Moore Capito,West Virginia,Senator,Person,Legislative,SenCapito,Republican
Ron Johnson,Wisconsin,Senator,Person,Legislative,SenRonJohnson,Republican
Tammy Baldwin,Wisconsin,Senator,Person,Legislative,SenatorBaldwin,Democrat
John Barrasso,Wyoming,Senator,Person,Legislative,SenJohnBarrasso,Republican
Mike Enzi,Wyoming,Senator,Person,Legislative,SenatorEnzi,Republican
